,disp_prop,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
115,0.3,0.014464778,0.001943093,0.012521685,7.444203168,0.565034862,0.453596383,0.090321058,69.701,91.119,117.328
116,0.3,0.014560214,0.001810617,0.012749596,8.041574,0.536731891,0.456984026,0.106464905,70.661,91.73,114.996
117,0.3,0.013065418,0.001436746,0.011628672,9.09375586,0.53518125,0.422291265,0.092454603,71.232,91.073,116.832
118,0.3,0.013862818,0.002086461,0.011776357,6.644178027,0.543995056,0.451905596,0.087347328,69.889,91.615,116.392
119,0.3,0.014053192,0.001767724,0.012285468,7.949878908,0.552066283,0.433659859,0.10271386,69.693,91.235,116.02
120,0.35,0.015232811,0.002384683,0.012848128,6.38777303,0.612343373,0.442780542,0.094456829,64.918,88.42,116.676
121,0.35,0.014146318,0.002073679,0.012072639,6.821844347,0.547326076,0.456060688,0.091941912,65.667,88.289,116.28
122,0.35,0.014637068,0.001998582,0.012638486,7.323726094,0.5490557,0.475117891,0.089335267,66.247,89.164,116.472
123,0.35,0.013706668,0.001790346,0.011916321,7.655874666,0.523386674,0.462111143,0.088935627,65.991,88.861,115.508
124,0.35,0.014771059,0.001624534,0.013146526,9.092491375,0.57233647,0.460903646,0.090464661,66.106,89.178,117.172
125,0.35,0.01439981,0.002362319,0.01203749,6.095623637,0.565080639,0.446208658,0.09642695,65.398,88.893,115.968
126,0.35,0.013831791,0.001690608,0.012141183,8.181548446,0.55351359,0.431098881,0.099101959,66.3,90.173,115.896
127,0.35,0.013890844,0.001912398,0.011978446,7.263572915,0.558434727,0.439950118,0.091604574,65.946,89.501,116.856
128,0.35,0.014664718,0.001920473,0.012744245,7.635992686,0.568252521,0.445138938,0.102445735,65.68,89.36,116.256
129,0.35,0.014262477,0.002055456,0.012207021,6.938838372,0.567950143,0.439279276,0.09642092,65.846,88.403,116.984
130,0.35,0.015577384,0.001651179,0.013926206,9.434098747,0.576625538,0.472238539,0.100585906,65.859,89.291,118.284
131,0.35,0.013985086,0.001835791,0.012149296,7.618018152,0.569253303,0.437972629,0.089210642,66.178,89.919,117.052
132,0.35,0.015206672,0.00210845,0.013098222,7.212251728,0.563861415,0.481508809,0.091158032,65.621,88.521,117.464
133,0.35,0.013649973,0.001629062,0.012020911,8.37903777,0.543044863,0.440331815,0.09290439,66.428,89.265,116.524
134,0.35,0.01338972,0.001718427,0.011671293,7.791846596,0.527873504,0.436201109,0.097602953,66.233,88.97,116.38
135,0.35,0.013819458,0.001773771,0.012045687,7.791006656,0.541720607,0.447747496,0.093590567,65.181,89.581,116.976
136,0.35,0.013001891,0.001661964,0.011339926,7.823207279,0.537507416,0.418822057,0.095306174,66.269,89.501,117.716
137,0.35,0.014269004,0.002302255,0.011966749,6.197839126,0.550835456,0.448532258,0.098824843,65.863,88.874,116
138,0.35,0.01411098,0.001528301,0.012582679,9.233116526,0.514832605,0.473097857,0.096576841,65.409,88.544,116.14
139,0.35,0.014401319,0.002193253,0.012208066,6.566191386,0.569075786,0.447693919,0.092753424,66.373,89.226,117.504
140,0.4,0.01431887,0.002235017,0.012083853,6.406605689,0.549853455,0.462023014,0.093239808,61.429,86.764,117.184
141,0.4,0.014568701,0.002000861,0.012567841,7.281217743,0.558977611,0.463418801,0.093211132,61.694,87.364,115.364
142,0.4,0.013703055,0.001665081,0.012037973,8.22966144,0.538163455,0.457447669,0.086973441,61.668,86.935,117.508
143,0.4,0.013839496,0.00159255,0.012246946,8.690149959,0.538215063,0.456987329,0.090207605,62.795,87.393,117.516
144,0.4,0.014846954,0.002194777,0.012652177,6.764676118,0.585286252,0.458742666,0.090007264,61.583,86.887,116.62
145,0.4,0.013608921,0.001942678,0.011666243,7.005238596,0.536437251,0.453785495,0.087502346,62.045,85.583,116.888
146,0.4,0.01405607,0.001967055,0.012089015,7.145742938,0.556263702,0.453667282,0.088594696,62.145,87.226,115.936
147,0.4,0.013847718,0.001807122,0.012040596,7.662857899,0.543272379,0.448202769,0.094234691,62.194,86.147,117.172
148,0.4,0.014363423,0.001804672,0.012558751,7.959022651,0.558335465,0.450314346,0.098598337,61.135,86.679,116.144
149,0.4,0.014379769,0.001917718,0.012462051,7.498376356,0.560886281,0.454123347,0.094018318,62.546,86.33,117.736
150,0.4,0.014314118,0.001939484,0.012374633,7.380373075,0.56893652,0.449910858,0.091777894,61.717,86.669,117.364
151,0.4,0.014951233,0.001773127,0.013178106,8.432126914,0.563892751,0.471882672,0.094143953,61.144,86.07,115.756
152,0.4,0.014290652,0.001816833,0.01247382,7.865694476,0.557190199,0.454799109,0.093283055,62.768,87.572,118.244
153,0.4,0.014992136,0.002105668,0.012886468,7.119895673,0.582853926,0.452589775,0.099049406,61.789,86.165,116.896
154,0.4,0.013709564,0.002212112,0.011497451,6.197498555,0.551193214,0.441865824,0.091203796,62.688,86.727,118.224
155,0.4,0.014545011,0.002227498,0.012317513,6.529753801,0.548926378,0.460343444,0.099998789,62.624,87.216,116.412
156,0.4,0.014394206,0.002292007,0.012102198,6.280174854,0.570829943,0.442923967,0.097523899,62.199,86.877,116.36
157,0.4,0.014824346,0.002112833,0.012711512,7.016334716,0.579029115,0.44948318,0.100345241,60.691,86.23,116.28
158,0.4,0.014059148,0.001718661,0.012340487,8.180289688,0.559631955,0.444613452,0.094353726,62.189,88.526,117.152
159,0.4,0.014228676,0.001598793,0.012629882,8.899634223,0.587597711,0.43522719,0.090732188,61.748,87.052,116.632
160,0.45,0.014670043,0.001834615,0.012835428,7.996251719,0.575270621,0.452713692,0.096794588,59.075,84.056,117.176
161,0.45,0.01458177,0.001742952,0.012838818,8.366134166,0.568535823,0.447138994,0.102891989,58.403,85.099,116.912
162,0.45,0.014968038,0.001958167,0.013009871,7.643902056,0.584812858,0.46562021,0.090686802,58.297,84.742,117.428
163,0.45,0.014354513,0.001671705,0.012682808,8.586749679,0.562439402,0.461057623,0.089546363,59.416,85.574,117.332
164,0.45,0.014555182,0.002055394,0.012499788,7.081455613,0.584984896,0.448084135,0.093773161,57.535,84.694,117.08
165,0.45,0.014833108,0.001968415,0.012864693,7.535559519,0.595047152,0.451065694,0.093123925,58.128,84.854,116.968
166,0.45,0.015012585,0.001856447,0.013156138,8.086728401,0.58116111,0.468632013,0.091319862,57.78,84.258,115.976
167,0.45,0.014952233,0.002159221,0.012793011,6.924826243,0.592567411,0.457155119,0.092622837,58.466,84.573,118.336
168,0.45,0.014513807,0.002182825,0.012330982,6.649093571,0.596491531,0.439142825,0.093010985,58.299,85.121,116.984
169,0.45,0.014947509,0.001966369,0.01298114,7.601577231,0.583385604,0.466981605,0.089867726,58.564,84.989,117.116
170,0.45,0.014125552,0.001771725,0.012353827,7.972767119,0.55878702,0.452768756,0.092336751,58.979,84.648,117.592
171,0.45,0.015394423,0.001966224,0.013428199,7.829435829,0.597582798,0.466287614,0.093721372,57.969,83.636,116.704
172,0.45,0.015680911,0.002306557,0.013374354,6.798406821,0.582665652,0.476052992,0.101024882,58.271,84.346,116.232
173,0.45,0.015156804,0.002161728,0.012995076,7.011428748,0.581117151,0.466710854,0.096108227,58.757,85.453,116.916
174,0.45,0.014803177,0.001694812,0.013108365,8.734405772,0.567289782,0.462504371,0.097999221,58.217,85.608,117.828
175,0.45,0.014824957,0.002088115,0.012736842,7.099684179,0.600655874,0.450032363,0.091141826,58.06,84.545,118.376
176,0.45,0.015409617,0.002243204,0.013166412,6.869466083,0.585289648,0.470205479,0.097799302,57.319,84.072,115.36
177,0.45,0.015333839,0.001842002,0.013491838,8.324552293,0.607865641,0.461785053,0.090888807,58.27,85.136,117.552
178,0.45,0.014534185,0.001947594,0.012586591,7.462635228,0.574625225,0.445829624,0.099514147,58.544,84.491,117.056
179,0.45,0.014573093,0.001590685,0.012982408,9.1615192,0.578499248,0.45541539,0.092214828,58.001,85.167,118.012
180,0.5,0.015947221,0.001981967,0.013965254,8.046158146,0.601151271,0.484540611,0.094404757,54.067,82.299,114.976
181,0.5,0.015007175,0.001942712,0.013064463,7.724859299,0.575767139,0.469755133,0.094797613,54.814,82.995,114.656
