,disp_mort,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
183,0.5,0.016042118,0.002103742,0.013938376,7.625516568,0.554935429,0.491574297,0.103671554,68.469,80.274,96.792
184,0.5,0.016071218,0.001742388,0.01432883,9.223673864,0.545336703,0.494016608,0.10909444,67.302,79.597,96.944
185,0.5,0.016152256,0.002040976,0.01411128,7.913985094,0.557923918,0.468867541,0.123783641,67.48,81.605,95.752
186,0.5,0.015696541,0.001923262,0.013773279,8.16141557,0.545030916,0.47776968,0.112559314,67.997,80.02,96.86
187,0.5,0.017493717,0.002201235,0.015292482,7.947228742,0.590668851,0.500414089,0.1115749,67.144,80.111,96.348
188,0.5,0.017134287,0.002306662,0.014827625,7.428172865,0.587718333,0.48775044,0.114729129,66.484,80.242,96.288
189,0.5,0.015800004,0.001491949,0.014308055,10.59017689,0.556365879,0.481249039,0.104446469,66.988,79.813,96.628
190,0.5,0.017015356,0.002609821,0.014405534,6.519739248,0.600590499,0.479748007,0.109055713,67.113,80.55,95.988
191,0.5,0.015693892,0.001928766,0.013765126,8.136753979,0.540765579,0.480370319,0.112941527,67.413,80.59,95.104
192,0.5,0.016923072,0.002238973,0.014684099,7.558408385,0.541587148,0.521448755,0.112263912,68.383,80.713,96.396
193,0.5,0.015581076,0.001750761,0.013830315,8.899602202,0.543673602,0.487093406,0.10183242,68.078,80.992,96.86
194,0.5,0.017017169,0.002006144,0.015011024,8.482525418,0.555192842,0.508405012,0.115242515,68.774,80.172,94.616
195,0.5,0.016226554,0.002026464,0.014200091,8.007325731,0.583882659,0.481779442,0.096616604,67.216,80.277,95.756
196,0.5,0.016274513,0.001826915,0.014447597,8.908193318,0.565200457,0.481150513,0.111901766,67.594,81.231,94.968
197,0.5,0.017655205,0.001972523,0.015682682,8.950571453,0.59982252,0.494741144,0.113972609,67.206,80.157,97.668
198,0.5,0.017150295,0.002196662,0.014953633,7.807434227,0.591342291,0.49450899,0.106826849,67.705,80.803,96.9
199,0.5,0.015956304,0.002007904,0.0139484,7.946747021,0.551458043,0.482813667,0.111470258,67.438,81.138,96.684
200,0.55,0.017883725,0.001847008,0.016036717,9.682536721,0.585588275,0.511149459,0.114958217,66.044,77,90.592
201,0.55,0.016757324,0.002103644,0.01465368,7.965855106,0.595578619,0.479148355,0.10524267,65.88,79.3,93.16
202,0.55,0.018287951,0.002187247,0.016100704,8.361174961,0.607143085,0.508698439,0.113788244,64.893,77.059,92.976
203,0.55,0.016673833,0.001720328,0.014953505,9.692241686,0.564949064,0.497816905,0.107714888,66.969,78.546,91.336
204,0.55,0.01720581,0.001974832,0.015230977,8.71254209,0.57281861,0.508731322,0.108109975,66.327,77.389,91.944
205,0.55,0.017275728,0.002320906,0.014954822,7.443528563,0.585615803,0.50049573,0.107905657,67.052,78.164,93.208
206,0.55,0.017900523,0.002101183,0.01579934,8.519259076,0.627692587,0.484377809,0.109867169,64.925,77.393,93.776
207,0.55,0.017609283,0.002030964,0.015578319,8.670407373,0.578401347,0.501937459,0.12135133,66.736,78.388,92.624
208,0.55,0.017153248,0.002181732,0.014971516,7.862217155,0.57733214,0.501525839,0.109784002,66.879,78.431,92.892
209,0.55,0.017005091,0.001824856,0.015180234,9.318591139,0.566794503,0.502352925,0.1125291,65.775,78.063,91.668
210,0.55,0.015647535,0.001813348,0.013834187,8.629085506,0.539607495,0.48195975,0.110984595,66.57,78.134,92.756
211,0.55,0.016530165,0.00201687,0.014513294,8.195948372,0.567339485,0.488200293,0.110704397,66.418,78.469,91.244
212,0.55,0.017715115,0.002545988,0.015169127,6.958052361,0.593440525,0.506561025,0.109971067,66.399,77.675,94.016
213,0.55,0.018527446,0.001969805,0.016557642,9.405727289,0.597048456,0.519501165,0.117438319,66.783,78.3,92.904
214,0.55,0.017986559,0.002069882,0.015916677,8.689652496,0.584512396,0.522996663,0.109917097,65.891,77.945,92.352
215,0.55,0.017259672,0.002118629,0.015141043,8.14662304,0.564829507,0.525337106,0.102323323,65.05,77.258,92.716
216,0.55,0.01621245,0.00189657,0.01431588,8.548299529,0.561415356,0.492097922,0.102976492,65.99,78.623,91.648
217,0.55,0.017073705,0.002121984,0.014951721,8.046103798,0.570754913,0.507932391,0.106453236,66.842,79.601,92.116
218,0.55,0.017052734,0.002759062,0.014293673,6.1806284,0.555396122,0.512702121,0.112852077,67.036,78.012,92.344
219,0.55,0.017297978,0.002029996,0.015267983,8.521190028,0.607129201,0.494175761,0.099708242,65.725,79.135,92.816
220,0.6,0.018160981,0.002442903,0.015718077,7.4341789,0.622484721,0.495387617,0.110388283,63.706,74.972,90.088
221,0.6,0.018076715,0.00173404,0.016342674,10.42462133,0.581633423,0.515712701,0.119426744,65.163,75.412,89.372
222,0.6,0.018561818,0.00241566,0.016146158,7.683954201,0.617426052,0.501914655,0.118097515,64.54,75.654,88.104
223,0.6,0.018517316,0.002175576,0.01634174,8.511455795,0.59027953,0.529274011,0.113240799,64.561,75.143,86.996
224,0.6,0.019556277,0.002452185,0.017104092,7.975040462,0.604333826,0.552208376,0.110432774,64.506,74.491,87.54
225,0.6,0.018490709,0.002589624,0.015901085,7.140307019,0.614600905,0.509128143,0.111835389,64.855,74.847,88.736
226,0.6,0.018939369,0.00244344,0.016495929,7.751107479,0.592081015,0.544256929,0.110068325,64.562,75.399,87.764
227,0.6,0.017482578,0.002012927,0.015469651,8.68515297,0.574945691,0.510881976,0.111472909,64.765,74.899,87.916
228,0.6,0.017433697,0.002303896,0.015129802,7.567052004,0.556917701,0.520398143,0.115562834,65.121,75.059,89.128
